KSS,KSA,Description,KSA Points,Question Points,CSR,Weight,Active W,Exclude,Effort,Forecast,Priority
Return,Customer Service 5,Are SLA's clearly defined and met by the customer service team?,30,1,1,0.091,0.018,False,8,,0.27
Return,On-site Status Update 5,Are on-site statuses updated pro-actively?,10,20,0,0.5,0.0,False,8,,0.62
Return,On-site Status Update 5,Can guest customers track the status of their return on-site?,10,20,0,0.5,0.0,False,8,,0.62
Return,Status Update Notification 5,Are update notifications provided pro--actively?,10,20,0,0.4,0.0,False,8,,0.5
Return,Status Update Notification 5,Are update notifications provided by e-mail?,10,20,0,0.4,0.0,False,8,,0.5
Return,Status Update Notification 5,Are update notifications provided by SMS? ,10,10,0,0.2,0.0,False,8,,0.25
Return,Support Page 5,"Is the support page comprehensive, containing all information the customer needs in the return phase?",30,20,1,0.5,0.1,False,8,,1.5
Return,Support Page 5,Does this contain fast access to customer service?,30,20,2,0.5,0.2,False,8,,1.12
Return,Tracking Info 5,Is return tracking info provided by email?,20,20,1,0.4,0.08,False,8,,0.8
Return,Tracking Info 5,Is return tracking information provided pro-actively?,10,10,0,0.2,0.0,False,8,,0.25
Return,Tracking Info 5,Is return tracking info provided by SMS?,10,10,0,0.2,0.0,False,8,,0.25
Return,Tracking Info 5,Can the customer track their return on-site as opposed to just via the third party courier site?,10,10,0,0.2,0.0,False,8,,0.25
Validate,Customer Service 2,Is there a comprehensive self-service available for the customer?,80,20,2,0.4,0.16,False,1,,19.2
Validate,Customer Service 2,Is there an instant reply system on-site eg. live chat/chat bot?,80,20,4,0.4,0.32,False,8,,0.8
Validate,Customer Service 2,Are there localised phone numbers available where relevant?,80,10,5,0.2,0.2,False,8,,0.0
Validate,Images/Videos,Are product videos available on-site?,90,5,3,0.417,0.25,False,8,,1.88
Validate,Images/Videos,Are images of good quality?,90,1,0,0.083,0.0,False,8,,0.93
Validate,Images/Videos,Do images provide a true representation of the product?,90,5,4,0.417,0.334,False,8,,0.93
Validate,Images/Videos,Are images aligned and consistent across all products and categories?,90,1,2,0.083,0.033,False,8,,0.56
Validate,Product Comparison,Is a product comparison available on the website?,50,50,0,1.0,0.0,False,8,,6.25
Validate,Product Comparison,"If available, is the product comparison logical and easy to use?",50,0,0,0.0,0.0,False,1,,0.0
Validate,Product Info,Is product info consistent and aligned across all items & categories?,90,50,2,0.5,0.2,False,8,,3.38
Validate,Product Info,Is product info detailed and enriched for the user to get a true feel for the product?,90,50,3,0.5,0.3,False,8,,2.25
Validate,Returns Policies,Is there quick access to the return policy from the PDP?,70,10,0,1.0,0.0,False,1,,70.0
Validate,Reviews 2,Are the majority of products reviewed?,80,50,1,0.455,0.091,False,8,,3.64
Validate,Reviews 2,Are product reviews shown on-site?,80,20,3,0.182,0.109,False,8,,0.73
Validate,Reviews 2,Are company/overall business reviews available on-site?,80,20,3,0.182,0.109,False,8,,0.73
Validate,Reviews 2,Are there replies to reviews where necessary?,80,20,4,0.182,0.146,False,8,,0.36
Validate,Social Feed,Is a social feed relating specifically to the product shown on the PDP?,30,1,0,1.0,0.0,False,8,,3.75
